country,newConfirmed,newFatalities,population,totalConfirmed,totalFatalities,totalRecovered
AD,9.084210526,0.547368421,77006,2037.714286,54.73469388,1598.783673
AE,259.5214724,1.779141104,9630959,74672.06751,356.1392405,64535.06751
AF,163.6792453,3.144654088,37172386,29813.53878,1012.387755,20613.78776
AG,0.292134832,0.033707865,96286,96.71666667,3.077777778,85.77222222
AL,16.68,0.38,2866376,10385.02449,260.0816327,5576.510204
AM,108.8125,1.825,2951776,44905.09388,768.1428571,33290.58776
AO,1.632183908,0.068965517,30809762,3844.293878,111.9877551,1721.155102
AR,332.4117647,8.558823529,44494502,456150.3551,11492.63265,358748.6474
AT,100.964497,4.065088757,8847037,58958.89796,981.077551,45240.5551
AU,43.43195266,0.603550296,24992369,17640.55918,448.6204082,15469.75102
AW,1.174418605,0.034883721,105845,1829.404082,15.12653061,1503.636735
AZ,65.38271605,0.777777778,9942334,35176.82449,459.1755102,26945.88571
BA,33.05208333,1.614583333,3323929,30627.83889,903.2555556,18806.44444
BB,1.065934066,0.076923077,286641,150.5306122,6.8,127.8571429
BD,994.1170213,13.30851064,161356039,232680.7224,3254.342857,161485.4286
BE,353.7692308,56.87573965,11422068,157116.649,10125.45714,11397.96327
BF,9.229166667,0.541666667,19751535,1424.853061,54.71020408,1160.534694
BG,34.62626263,1.808080808,7024216,27867.48571,832.3755102,12013.71837
BH,114.6309524,0.279761905,1569439,43767.19592,157.8408163,40030.21224
BI,1.350649351,0.012987013,11175378,316.7591837,0.975510204,261.3061224
BJ,5.782608696,0.097826087,11485048,1551.6,26.28571429,1206.653061
BM,1.674157303,0.08988764,63968,160.6693878,8.469387755,133.5755102
BN,1.43877551,0.030612245,428962,143.0979592,2.502040816,136.3510204
BO,204.25,6.822916667,11353142,77045.83265,4129.269388,48484.16327
BR,5433.150602,266.060241,209469333,2945018.951,92418.8,2405235.731
BS,1.131868132,0.120879121,385640,2368.783673,54.86530612,1454.032653
BT,0.684210526,0,754394,168.0653061,0,137.555102
BW,0.779220779,0.012987013,2254126,1859.4,8.983673469,1273.277551
BY,338.1118012,1.950310559,9485386,67132.8,578.0653061,55754.84898
BZ,0.235294118,0.023529412,383071,1320.102041,24.69795918,700.8734694
CA,581.7928994,47.87573965,37058856,147005.2776,8167.869388,118402.6776
CD,51,1.145833333,84068091,7613.208163,195.4244898,5926.114286
CF,25.91397849,0.150537634,4666377,3518.172996,44.27004219,1213.160338
CG,9,0.279569893,5244363,3518.565217,64.63285024,3772.135266
CH,183.8284024,12.69230769,8516543,79478.17551,1984.693878,57115.7551
CI,59.46315789,0.484210526,25069229,13591.55918,90.3877551,11050.45306
CL,1762.038462,27.10576923,18729160,317126.3959,8571.436735,274061.5633
CM,99.85416667,2.822916667,25216237,14624.62857,317.3346939,12811.36735
CN,501.2307692,27.53254438,1392730000,84426.55738,4586.012295,79479.11066
CO,554.9081633,18.21428571,49648685,489110.8367,14798.83265,446876.9323
CR,17.42574257,0.108910891,4999441,43960.9102,523.8571429,30179.84898
CU,24,0.893617021,11338138,3876.934694,94.53061224,3370.020408
CV,8.715909091,0.079545455,543767,3823.934694,39.41632653,3293.804082
CY,10.12371134,0.257731959,1189265,2810.440816,26.6122449,1380.334694
CZ,53.40740741,1.611111111,10625695,107801.7469,1504.134694,73558.42857
DE,1102.076923,51.56213018,82927922,333838.4816,9536.526531,335183.4
DJ,50.24444444,0.477777778,958920,4330.653061,46.13469388,3939.37551
DK,71.98816568,3.514792899,5797446,25119.91429,614.6897959,21106.19592
DM,0.209302326,0,71625,28.55102041,0,23.23673469
DO,146.24375,3.8125,10627165,73067.61603,1353.35443,52682.77637
DZ,66.94512195,4.774390244,42228429,34174.15102,1281.987755,23169.53061
EC,292.6402439,24.09756098,17084357,95112.72245,7061.942857,66566.33061
EE,12.0304878,0.414634146,1320884,3533.171429,68.1877551,2469.702041
EG,287.9393939,10.65454545,98423595,73335.48571,3938.57551,51234.80816
ES,1830.712,192.696,46723749,583758.3306,30408.08571,81140.10204
ET,38.09473684,0.642105263,109224559,40706.06939,637.3510204,21714.63265
FI,43.23170732,1.969512195,5518050,9990.75102,313.6285714,7501.306122
FJ,0.202247191,0,883483,26.40816327,0.959183674,21.0244898
FO,2.101123596,0,48497,321.6571429,0.004081633,302.1795918
FR,945.7337278,173.2781065,66987244,570330.8939,31887.53061,89795.22449
GA,41.92631579,0.294736842,2119275,6049.134694,39.60816327,5114.893878
GB,1733.928571,246.8869048,66488991,513286.2612,41033.12653,0
GD,0.267441861,0,111454,24.42040816,0,20.69387755
GE,5.331325301,0.078313253,3731000,19481.93469,175.9142857,14578.82449
GG,2.831460674,0.146067416,63026,255.0489796,12.6,227.3632653
GH,120.5473684,0.578947368,29767108,30081.34286,183.4530612,27646.32245
GI,1.97752809,0.056179775,33718,350.1346939,0.334693878,322.5836735
GL,0.146067416,0,56025,13.90204082,0,13.54285714
GM,0.351648352,0.010989011,2280102,1950.847619,62.05714286,1461.919048
GN,48.63829787,0.329787234,12414318,7401.832653,44.69387755,6343.302041
GQ,13.89361702,0.127659575,1308974,3424.7173,55.73417722,2429.561181
GR,18.79041916,1.107784431,10727668,20516.82041,481.0653061,2772.955102
GT,113.2340426,4.446808511,17247807,54391.50204,1945.640816,44935.06939
GU,2.088888889,0.055555556,165768,1782.142857,29.31836735,1220.644898
GW,17.76829268,0.182926829,1874309,1738.363265,25.39591837,945.5183673
GY,1.765957447,0.127659575,779004,1640.893878,50.96326531,1172.546939
HN,101.2842105,3.389473684,9587522,47116.76327,1377.979592,15117.40408
HR,13.53012048,0.638554217,4089400,23305.97143,357.8816327,18583.56327
HT,50.78651685,0.887640449,11123176,6000.142857,143.7265306,4350.926531
HU,39.31067961,5.466019418,9768785,36712.74286,1132.016327,10525.02449
ID,247.9444444,13.66049383,267663435,184557.2367,6862.726531,138716.1592
IE,150.8682635,10.19161677,4853506,34718.17143,1666.718367,21356.94262
IL,118.1204819,1.789156627,8883800,131802.951,1059.546939,111045.3306
IM,3.818181818,0.272727273,84077,334.3020408,22.59591837,297.8734694
IN,2086.077381,70.33333333,1352617328,3418142.053,55450.83265,2923120.023
IQ,135.6227545,4.25748503,38433600,207299.2612,5386.416327,185108.6367
IR,1128.733728,53.37278107,81800269,370543.0122,20116.86939,292671.7061
IS,10.72189349,0.059171598,353574,2672.477551,11.90612245,2384.946939
IT,1400.923077,202.5207101,60431283,431490.9388,35957.14286,242363.5061
IW,10.875,0.109375,3000,1809.656652,21.50214592,1217.184549
JE,3.550561798,0.337078652,106800,425.522449,25.4244898,344.442623
JM,6.4375,0.104166667,2934855,3492.783673,68.32653061,1704.853061
JO,9.989583333,0.09375,9956011,32670.31837,389.122449,15987.74286
JP,103.8579882,5.378698225,126529100,55812.35102,1186.2,47128.75102
KE,40.33684211,1.094736842,51393010,27404.56735,492.6938776,20571.95102
KG,28.23333333,0.333333333,6315800,30532.44898,701.9918367,25742.43673
KH,0.8,0,16249798,215.5877551,0,200.6040816
KN,0.180722892,0,52441,17.84444444,0,17.02222222
KR,72.02366864,1.639053254,51635256,18485.6449,343.5020408,15996.69796
KW,219.0361446,1.78313253,4137309,70649.69796,450.4489796,64016.73469
KY,2.134831461,0.011235955,64174,185.3469388,1.032653061,160.677551
KZ,164.1276596,0.925531915,18276499,69812.08571,951.155102,59325.32653
LA,0.226190476,0,7061507,21.91428571,0,17.98367347
LB,8.842424242,0.193939394,6848925,30220.80816,300.0204082,16042.07755
LC,0.20212766,0,181889,50.26122449,0.236734694,30.51428571
LI,0.846938776,0.010204082,37910,254.1061224,2.481632653,201.0285714
LK,11.93125,0.06875,21670000,5347.028571,22.33877551,3791.673469
LR,5.402173913,0.358695652,4818977,939.9469388,57.57959184,718.2122449
LT,11.71875,0.475,2789533,9815.795918,127.1673469,3724.253061
LU,25.14197531,0.691358025,607728,9817.718367,136.1714286,7701.857143
LV,10.69607843,0.274509804,1926542,3331.628571,50.27346939,1021.942857
LY,5.55952381,0.119047619,6678567,23874.69796,326.4816327,12127.34694
MA,87.90909091,2.242424242,36029138,90520.29796,1565.902041,74420.68163
MC,0.656050955,0.031847134,38682,195.6571429,3.012244898,157.5795918
MD,123.0909091,4.353535354,3545883,37519.8,974.2571429,27873.3102
ME,3.582417582,0.098901099,622345,8230.844898,129.7183673,5600.620408
MG,15.15909091,0.136363636,26262368,9338.546939,122.2734694,8606.391837
MK,26.66875,1.2875,2082958,16595.66939,579.3183673,11976.77551
ML,22.61445783,1.313253012,19077690,2384.244898,110.0367347,2098.35102
MM,3.046511628,0.069767442,53708395,17055.98367,379.1877551,11470.06531
MN,2.11827957,0,3170208,278.4040816,0,198.4244898
MP,0.346153846,0.025641026,56882,50.05485232,2,18.06329114
MR,21.93617021,0.989361702,4403319,4920.240816,115.6938776,4074.130612
MS,0.126436782,0.011494253,5900,12.03265306,0.906122449,9.893877551
